q1,q2,q3,q4,q5,q6,q7,q8,q9,q10
0.007220424,0.622713884,1.58789648,-0.002674495,3.044680294,0,0,0,0,0
0.007231446,0.625083688,1.58800834,-0.002911526,3.044807197,0.00033067,0.071094116,0.003355803,-0.007110933,0.00380708
0.007235121,0.625081238,1.588008189,-0.002929814,3.044830518,0.000110223,-7.34823E-05,-4.54328E-06,-0.000548652,0.000699648
0.007233896,0.625091036,1.587989476,-0.002889016,3.044795173,-3.67411E-05,0.000293929,-0.000561385,0.00122395,-0.001060365
0.007233896,0.62509471,1.587972332,-0.002868914,3.044793634,0,0.000110223,-0.00051432,0.00060305,-4.61811E-05
0.007240019,0.627468188,1.588010511,-0.002889079,3.045364344,0.000183706,0.071204339,0.001145378,-0.000604934,0.017121312
0.007241244,0.627476761,1.588013848,-0.002778038,3.045866386,3.67411E-05,0.000257188,0.000100111,0.003331215,0.015061268
0.007232671,0.627469413,1.58801931,-0.002992166,3.044837086,-0.000257188,-0.000220447,0.000163858,-0.006423848,-0.030878994
0.007224098,0.627470637,1.588091485,-0.003020487,3.044762868,-0.000257188,3.67411E-05,0.002165233,-0.000849614,-0.002226549
0.007220424,0.627489008,1.588097384,0.004011224,3.029712899,-0.000110223,0.000551117,0.000176988,0.210951336,-0.45149907
0.007224098,0.627486558,1.588028463,0.004375188,3.030879792,0.000110223,-7.34823E-05,-0.002067637,0.010918901,0.035006785
0.007215525,0.627489008,1.588109132,0.004324629,3.022941084,-0.000257188,7.34823E-05,0.00242008,-0.001516747,-0.23816125
0.007222873,0.627495131,1.58813019,0.004292643,3.02291501,0.000220447,0.000183706,0.000631728,-0.000959607,-0.000782223
0.007228997,0.627490233,1.588055063,0.004379182,3.022871105,0.000183706,-0.000146965,-0.00225381,0.002596195,-0.001317124
0.007219199,0.627496356,1.588127803,0.004339391,3.022850383,-0.000293929,0.000183706,0.002182188,-0.00119373,-0.000621664
0.007222873,0.627497581,1.58811539,0.004167575,3.022242115,0.000110223,3.67411E-05,-0.000372388,-0.005154499,-0.018248049
0.007231446,0.627503704,1.588127854,0.004294898,3.022858225,0.000257188,0.000183706,0.000373922,0.003819705,0.018483284
0.007232671,0.627493907,1.588177593,0.004052186,3.030258791,3.67411E-05,-0.000293929,0.001492171,-0.00728137,0.222016981
0.007232671,0.627490233,1.588203371,0.003883368,3.029686092,-3.90313E-15,-0.000110223,0.000773359,-0.005064531,-0.017180957
0.007227772,0.627480435,1.588221173,-0.003128248,3.044681972,-0.000146965,-0.000293929,0.000534039,-0.210348498,0.449876408
0.007226548,0.627475536,1.58821553,-0.003100101,3.044638495,-3.67411E-05,-0.000146965,-0.000169278,0.000844414,-0.00130432
0.007241244,0.627468188,1.588253311,-0.003219712,3.045440453,0.000440894,-0.000220447,0.00113343,-0.003588326,0.024058757
0.007248592,0.627471862,1.58826511,-0.003250183,3.045456054,0.000220447,0.000110223,0.000353965,-0.000914125,0.000468027
0.007246143,0.627466963,1.588282705,-0.003275121,3.044810999,-7.34823E-05,-0.000146965,0.000527852,-0.000748152,-0.019351669
0.007230222,0.62745839,1.588258695,-0.003199447,3.044763523,-0.000477635,-0.000257188,-0.000720289,0.002270243,-0.00142426
0.007225323,0.627448593,1.58815604,-0.003073607,3.045401017,-0.000146965,-0.000293929,-0.003079656,0.003775189,0.019124814
0.007225323,0.62745839,1.588153464,-0.003064264,3.04537654,0,0.000293929,-7.72925E-05,0.000280293,-0.000734313
0.007225323,0.627459615,1.588147802,-0.003062851,3.045369405,0,3.67411E-05,-0.000169863,4.23923E-05,-0.000214052
0.007225323,0.627465738,1.588148107,-0.003059589,3.044713568,4.18936E-15,0.000183706,9.16125E-06,9.78416E-05,-0.019675106
0.007228997,0.627452267,1.588260512,0.003833335,3.030479639,0.000110223,-0.000404153,0.003372138,0.206787739,-0.427017868
0.007230222,0.627447368,1.588269051,-0.003179798,3.045404899,3.67411E-05,-0.000146965,0.000256172,-0.210394005,0.447757788
0.009585329,0.627447368,1.593934048,-0.008914405,3.037559115,0.070653222,0,0.169949934,-0.17203821,-0.235373521
0.00723757,0.627447368,1.588208217,0.003897268,3.030419316,-0.070432775,0,-0.171774931,0.384350196,-0.21419397
0.007227772,0.625088586,1.593679245,-0.0013675,3.030199856,-0.000293929,-0.070763446,0.164130827,-0.157943025,-0.00658379
0.007219199,0.625091036,1.593647708,-0.001312586,3.030142493,-0.000257188,7.34823E-05,-0.00094612,0.001647406,-0.001720896
0.007217975,0.625095935,1.593635846,-0.001279418,3.030114417,-3.67411E-05,0.000146965,-0.000355862,0.000995038,-0.000842269
0.009573082,0.622705311,1.593535237,-0.015269579,3.052104205,0.070653222,-0.071718715,-0.003018264,-0.419704821,0.659693623
0.009575531,0.622712659,1.593535303,-0.015265864,3.052072013,7.34823E-05,0.000220447,1.97795E-06,0.000111449,-0.000965754
0.007221649,0.625087362,1.588068477,0.004211744,3.030236654,-0.070616481,0.07124108,-0.164004787,0.584328237,-0.655060781
0.009571857,0.622718783,1.593535501,-0.008244412,3.03722657,0.070506258,-0.071057375,0.164010721,-0.373684676,0.209697485
0.007219199,0.622720007,1.59350987,-0.001097887,3.030139628,-0.07057974,3.67411E-05,-0.00076891,0.21439575,-0.21260825
0.00721675,0.625091036,1.593623385,-0.001326865,3.030224842,-7.34823E-05,0.071130857,0.003405434,-0.006869333,0.00255642
0.007217975,0.622721232,1.5934988,-0.00106254,3.028631157,3.67411E-05,-0.071094116,-0.003737527,0.007929729,-0.047810548
0.007215525,0.625092261,1.59361802,-0.001328656,3.028781112,-7.34823E-05,0.071130857,0.003576575,-0.007983474,0.004498647
0.00721675,0.627441244,1.593751837,-0.001632128,3.028959587,3.67411E-05,0.070469516,0.00401451,-0.009104171,0.005354249
0.007215525,0.627446143,1.593749107,-0.001626432,3.02896351,-3.67411E-05,0.000146965,-8.18975E-05,0.000170899,0.000117673
0.009577981,0.622724906,1.593533195,-0.008266885,3.027735266,0.070873669,-0.141637115,-0.006477356,-0.199213604,-0.036847305
0.009577981,0.627448593,1.593784693,-0.008577509,3.029326335,0,0.141710597,0.007544957,-0.009318722,0.047732063
0.009569408,0.627463289,1.59377364,-0.008537456,3.03650774,-0.000257188,0.000440894,-0.000331615,0.0012016,0.215442168
0.009579206,0.62745839,1.593782975,-0.008602531,3.036593904,0.000293929,-0.000146965,0.000280057,-0.001952237,0.002584898
0.00958043,0.627462064,1.593783379,-0.008701103,3.036674962,3.67411E-05,0.000110223,1.2134E-05,-0.002957186,0.002431738
0.009579206,0.627462064,1.593771179,-0.008666714,3.036639461,-3.67411E-05,0,-0.000366003,0.001031688,-0.001065027
0.007210626,0.62748166,1.588136019,-0.002921552,3.044501036,-0.071057375,0.000587858,-0.169054799,0.172354846,0.235847262
0.009570633,0.627463289,1.593772459,-0.015638068,3.05156299,0.070800187,-0.000551117,0.169093205,-0.381495479,0.211858614
0.007213076,0.627484109,1.588116505,-0.002924546,3.044533681,-0.070726704,0.000624599,-0.169678627,0.381405673,-0.210879259
0.007213076,0.627486558,1.588128339,-0.00292893,3.044509475,-4.21538E-15,7.34823E-05,0.000355016,-0.000131532,-0.00072618
0.007203278,0.627474311,1.588104418,0.004433121,3.022765595,-0.000293929,-0.000367411,-0.000717644,0.220861547,-0.652316398
0.007203278,0.627473087,1.588098501,0.004431671,3.022810364,4.21538E-15,-3.67411E-05,-0.000177502,-4.35208E-05,0.001343051
0.007209402,0.627480435,1.588110284,0.004389367,3.030726678,0.000183706,0.000220447,0.000353481,-0.001269117,0.237489428
0.007213076,0.627489008,1.588206527,-0.002776862,3.045600155,0.000110223,0.000257188,0.00288729,-0.214986855,0.446204311
0.007228997,0.629868609,1.594065333,-0.001736729,3.022856511,0.000477635,0.071388045,0.175764183,0.03120397,-0.682309319
0.007222873,0.629877182,1.594053882,-0.001714506,3.02284323,-0.000183706,0.000257188,-0.000343519,0.000666716,-0.000398421
0.007231446,0.629874733,1.593953094,-0.00163944,3.022878376,0.000257188,-7.34823E-05,-0.003023629,0.002251983,0.001054378
0.007221649,0.627512277,1.593819616,-0.001314135,3.022714822,-0.000293929,-0.070873669,-0.004004349,0.00975914,-0.004906632
0.007228997,0.629877182,1.593971132,-0.001623883,3.022847989,0.000220447,0.070947151,0.004545463,-0.009292431,0.003995005
0.007226548,0.62988698,1.59398869,-0.001482077,3.023493057,-7.34823E-05,0.000293929,0.000526763,0.004254165,0.019352052
0.007214301,0.629884531,1.594074715,-0.001549805,3.02350134,-0.000367411,-7.34823E-05,0.002580726,-0.002031838,0.000248477
0.007205728,0.629885755,1.593970858,-0.001411541,3.022671299,-0.000257188,3.67411E-05,-0.003115693,0.004147905,-0.024901206
0.007217975,0.629879632,1.593997333,-0.001638194,3.022131606,0.000367411,-0.000183706,0.00079424,-0.006799588,-0.016190809
0.007242469,0.627512277,1.594029637,-0.00143253,3.022660678,0.000734823,-0.071020634,0.000969131,0.006169932,0.015872177
0.009608599,0.629875958,1.599868736,-0.014624454,3.030028342,0.070983892,0.07091041,0.175172976,-0.395757716,0.221029921
